,id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
0,2925210.0,2024-02-12 19:22:46.652000+00:00,-3,-1,-1
1,2925211.0,2024-02-12 19:24:29.135000+00:00,58,0,427
2,2925212.0,2024-02-12 19:24:41.493000+00:00,-3,-1,-1
3,2925213.0,2024-02-12 19:24:29.135000+00:00,58,0,427
4,2925214.0,2024-02-12 19:24:56.857000+00:00,-3,-1,-1
5,2925215.0,2024-02-12 19:25:10.176000+00:00,58,0,427
6,2925216.0,2024-02-12 19:25:10.176000+00:00,58,0,427
7,2925217.0,2024-02-12 19:39:43.431000+00:00,-3,-1,-1
8,2925218.0,2024-02-12 19:40:15.507000+00:00,13,0,288
9,2925219.0,2024-02-12 19:40:21.729000+00:00,-3,-1,-1
10,2925220.0,2024-02-12 19:40:15.507000+00:00,13,0,288
11,2925221.0,2024-02-12 19:40:33.233000+00:00,-3,-1,-1
12,2925222.0,2024-02-12 19:40:43.421000+00:00,13,0,288
13,2925223.0,2024-02-12 19:40:45.689000+00:00,-3,-1,-1
14,2925224.0,2024-02-12 19:40:43.421000+00:00,13,0,288
15,2925225.0,2024-02-12 19:40:59.168000+00:00,-3,-1,-1
16,2925226.0,2024-02-12 19:42:17.995000+00:00,-3,-1,-1
17,2925227.0,2024-02-12 19:42:18.189000+00:00,13,0,288
18,2925228.0,2024-02-12 19:42:18.189000+00:00,13,0,288
19,2925229.0,2024-02-12 19:42:41.931000+00:00,-3,-1,-1
20,2925230.0,2024-02-13 03:24:50.390000+00:00,-3,-1,-1
21,2925231.0,2024-02-13 03:25:23.976000+00:00,12,2537851751,170
22,2925232.0,2024-02-13 03:25:23.976000+00:00,12,2537851751,170
23,2925233.0,2024-02-13 03:40:58.283000+00:00,-3,-1,-1
24,2925234.0,2024-02-13 03:41:40.303000+00:00,3,0,-1
25,2925235.0,2024-02-13 03:41:48.786000+00:00,-3,-1,-1
26,2925236.0,2024-02-13 03:41:40.303000+00:00,3,0,-1
27,2925237.0,2024-02-13 03:41:59.906000+00:00,-3,-1,-1
28,2925238.0,2024-02-13 03:42:10.012000+00:00,3,0,-1
29,2925239.0,2024-02-13 03:42:11.371000+00:00,-3,-1,-1
